Team Initials, Score
CHA,74
MIA,67
ORL,74
IND,85
NYK,75
DAL,80
OKC,92
DET,91
NYK,78
DET,103
ORL,81
MIA,68
IND,84
CHA,77
NYK,87
OKC,99
ORL,76
DAL,86
IND,86
MIA,83
BOS,89
PHI,88
SAS,74
UTA,87
CHA,95
OKC,81
IND,79
DAL,94
MIA,71
DET,73
DAL,96
OKC,75
CHA,82
DET,87
ORL,84
NYK,73
BOS,70
SAS,81
PHI,94
UTA,100
NYK,91
MIA,72
CHA,86
ORL,78
OKC,80
IND,89
DET,81
DAL,83
PHI,94
SAS,86
BOS,65
UTA,68
TOR,96
NOP,93
MIL,53
CLE,82
BKN,75
ATL,72
LAC,96
LAL,93
HOU,102
DEN,99
PHX,89
SAC,85
WAS,88
MEM,91
DAL,91
CHI,75
POR,72
UTA,63
TOR,97
MIN,72
MIA,75
SAS,74
BOS,86
LAL,81
HOU,90
CLE,95
PHI,95
GSW,93
ATL,84
NOP,82
PHX,77
DAL,88
MIL,88
BKN,83
MIN,90
DEN,71
UTA,67
LAC,86
POR,64
BOS,70
MEM,81
SAC,75
PHI,95
SAS,101
ATL,75
CHI,55
MIA,91
WAS,87
BKN,95
NOP,66
HOU,99
PHX,94
DEN,81
TOR,82
GSW,74
CLE,91
LAC,100
MIL,93
LAL,95
SAC,92
SAS,99
POR,85
UTA,81
MEM,84
CHI,82
WAS,73
PHI,83
BOS,88
MIA,73
DAL,78
GSW,76
MIN,78
NOP,105
ATL,95
DEN,87
HOU,81
WAS,88
MIA,89
GSW,77
MIN,69
UTA,81
PHX,97
SAC,69
MIL,65
CHI,77
POR,88
PHI,102
LAL,103
NOP,81
SAS,86
DEN,74
BKN,85
GSW,69
BOS,93
MIA,91
LAC,84
PHX,98
MEM,102
SAC,76
DAL,83
POR,91
TOR,85
LAL,94
CLE,83
HOU,86
ATL,92
WAS,73
MIN,80
UTA,97
MIL,76
GSW,109
LAC,100
NOP,91
DEN,96
PHI,82
CHI,99
SAC,93
PHX,87
CLE,78
TOR,75
POR,94
SAS,87
MIA,95
MEM,98
BOS,74
DAL,91
LAL,115
BKN,106
POR,87
MEM,82
LAL,108
DAL,98
POR,98
LAL,110
